Receiver Serial Number,Three-Digit Line-Counter,Date/Time,Transmitter Code-Space,Transmitter ID Number,Signal Level (dB),Noise-Level (dB),Zero,Channel,Distance (m),Sensor GPS Coords,Tag GPS Coords
457012,184,2021-06-29 19:09:26.259,A69-1602,65478,67.0,39.5,0,#AA,100,"(33.75219, -118.12743)","(33.75227, -118.12857)"

457012,185,2021-06-29 19:09:34.437,A69-1602,65478,61.5,40.0,0,#9A,100,"(33.75219, -118.12743)","(33.75227, -118.12857)"

457012,186,2021-06-29 19:09:42.616,A69-1602,65478,59.0,40.0,0,#9B,100,"(33.75219, -118.12743)","(33.75227, -118.12857)"

457012,188,2021-06-29 19:09:58.975,A69-1602,65478,53.0,40.5,0,#AB,100,"(33.75219, -118.12743)","(33.75227, -118.12857)"

457012,189,2021-06-29 19:10:07.156,A69-1602,65478,56.5,41.5,0,#9E,100,"(33.75219, -118.12743)","(33.75227, -118.12857)"

457012,190,2021-06-29 19:10:15.333,A69-1602,65478,59.0,40.5,0,#8F,100,"(33.75219, -118.12743)","(33.75227, -118.12857)"

457012,191,2021-06-29 19:10:23.512,A69-1602,65478,62.5,40.5,0,#8D,100,"(33.75219, -118.12743)","(33.75227, -118.12857)"

457012,192,2021-06-29 19:10:31.692,A69-1602,65478,61.5,39.5,0,#9D,100,"(33.75219, -118.12743)","(33.75227, -118.12857)"

457012,194,2021-06-29 19:11:04.411,A69-1602,65478,54.0,39.0,0,#8D,100,"(33.75219, -118.12743)","(33.75227, -118.12857)"

457012,195,2021-06-29 19:11:12.592,A69-1602,65478,54.5,39.5,0,#A1,100,"(33.75219, -118.12743)","(33.75227, -118.12857)"

457012,196,2021-06-29 19:11:20.772,A69-1602,65478,53.5,39.0,0,#9B,100,"(33.75219, -118.12743)","(33.75227, -118.12857)"

457012,197,2021-06-29 19:11:45.311,A69-1602,65478,57.0,41.5,0,#95,100,"(33.75219, -118.12743)","(33.75227, -118.12857)"

457012,199,2021-06-29 19:11:53.491,A69-1602,65478,60.0,38.0,0,#9A,100,"(33.75219, -118.12743)","(33.75227, -118.12857)"

457012,200,2021-06-29 19:12:09.847,A69-1602,65478,57.5,39.0,0,#9C,100,"(33.75219, -118.12743)","(33.75227, -118.12857)"

457012,201,2021-06-29 19:12:34.376,A69-1602,65478,54.5,39.5,0,#9A,100,"(33.75219, -118.12743)","(33.75227, -118.12857)"

457012,203,2021-06-29 19:13:07.096,A69-1602,65478,57.0,38.5,0,#99,100,"(33.75219, -118.12743)","(33.75227, -118.12857)"

457012,204,2021-06-29 19:13:15.275,A69-1602,65478,57.0,37.5,0,#97,100,"(33.75219, -118.12743)","(33.75227, -118.12857)"

457012,205,2021-06-29 19:13:23.455,A69-1602,65478,55.0,37.5,0,#95,100,"(33.75219, -118.12743)","(33.75227, -118.12857)"

457012,206,2021-06-29 19:13:39.816,A69-1602,65478,58.5,44.0,0,#9F,100,"(33.75219, -118.12743)","(33.75227, -118.12857)"

457012,207,2021-06-29 19:13:47.995,A69-1602,65478,60.0,40.5,0,#9C,100,"(33.75219, -118.12743)","(33.75227, -118.12857)"

457012,209,2021-06-29 19:13:56.174,A69-1602,65478,63.5,39.5,0,#A3,100,"(33.75219, -118.12743)","(33.75227, -118.12857)"

457012,210,2021-06-29 19:14:12.534,A69-1602,65478,58.0,42.5,0,#8D,100,"(33.75219, -118.12743)","(33.75227, -118.12857)"

457012,211,2021-06-29 19:14:20.714,A69-1602,65478,59.0,41.5,0,#8D,100,"(33.75219, -118.12743)","(33.75227, -118.12857)"

457012,212,2021-06-29 19:14:28.893,A69-1602,65478,60.5,40.0,0,#95,100,"(33.75219, -118.12743)","(33.75227, -118.12857)"

457012,213,2021-06-29 19:14:37.072,A69-1602,65478,65.5,39.5,0,#9D,100,"(33.75219, -118.12743)","(33.75227, -118.12857)"

457012,214,2021-06-29 19:14:45.253,A69-1602,65478,61.5,38.5,0,#99,100,"(33.75219, -118.12743)","(33.75227, -118.12857)"

457012,216,2021-06-29 19:15:01.612,A69-1602,65478,52.5,38.0,0,#8E,100,"(33.75219, -118.12743)","(33.75227, -118.12857)"

457012,217,2021-06-29 19:15:17.972,A69-1602,65478,57.0,40.0,0,#98,100,"(33.75219, -118.12743)","(33.75227, -118.12857)"

457012,218,2021-06-29 19:15:34.332,A69-1602,65478,58.0,40.0,0,#8F,100,"(33.75219, -118.12743)","(33.75227, -118.12857)"

457012,219,2021-06-29 19:15:42.511,A69-1602,65478,59.0,40.5,0,#94,100,"(33.75219, -118.12743)","(33.75227, -118.12857)"

457012,221,2021-06-29 19:15:50.691,A69-1602,65478,62.0,40.5,0,#8F,100,"(33.75219, -118.12743)","(33.75227, -118.12857)"

457012,222,2021-06-29 19:15:58.871,A69-1602,65478,65.0,39.0,0,#9E,100,"(33.75219, -118.12743)","(33.75227, -118.12857)"

457012,223,2021-06-29 19:16:07.050,A69-1602,65478,58.5,40.5,0,#93,100,"(33.75219, -118.12743)","(33.75227, -118.12857)"

