Receiver Serial Number,Three-Digit Line-Counter,Date/Time,Transmitter Code-Space,Transmitter ID Number,Signal Level (dB),Noise-Level (dB),C,Channel,Tag GPS Coords,Sensor GPS Coords,Time (s),Distance (m),Time of Flight (s),Predicted Distance (m)
457049,613,2021-07-22 19:40:58.405,A69-1602,65477,41.5,34.5,0,#9B,"(33.750672, -118.122642)","(33.752228, -118.12863)",53.882,580.07,4.807571428571421,7019.0542857142755
457049,622,2021-07-22 19:48:52.795,A69-1602,65477,40.0,33.5,0,#A2,"(33.750672, -118.122642)","(33.752228, -118.12863)",528.272,580.07,4.811428571428564,7024.685714285704
457049,624,2021-07-22 19:49:09.153,A69-1602,65477,43.5,33.5,0,#A3,"(33.750672, -118.122642)","(33.752228, -118.12863)",544.63,580.07,4.811285714285653,7024.477142857053
