457049,537,2021-07-22 19:17:56.116,A69-1602,65477,45.0,34.0,0,#9B,7.2673448
457049,538,2021-07-22 19:18:04.259,STS,4792,40696,12.4,21.6,0.1,0.3,-0.72:0.22:-0.72,57.5,33.5,#17,14.627329300000003
457049,539,2021-07-22 19:18:04.295,A69-1602,65477,47.0,33.5,0,#A5,15.714531099999999
457049,540,2021-07-22 19:18:12.474,A69-1602,65477,44.0,33.5,0,#98,22.8992381
457049,541,2021-07-22 19:18:20.653,A69-1602,65477,45.0,34.0,0,#94,31.0910696
457049,542,2021-07-22 19:18:28.832,A69-1602,65477,44.0,34.0,0,#9B,39.298724899999996
457049,543,2021-07-22 19:18:53.370,A69-1602,65477,46.5,34.0,0,#9E,63.7623071
457049,544,2021-07-22 19:19:01.548,A69-1602,65477,48.0,33.5,0,#A1,71.9703344
457049,545,2021-07-22 19:19:04.893,STS,4798,40751,12.4,21.6,0.1,0.3,-0.69:0.12:-0.75,57.5,33.5,#20,75.2657396
457049,546,2021-07-22 19:19:26.086,A69-1602,65477,46.0,33.5,0,#A5,96.6735041
457049,547,2021-07-22 19:19:50.622,A69-1602,65477,46.5,33.5,0,#A4,121.13711990000002
457049,548,2021-07-22 19:20:04.227,STS,4800,40804,12.4,21.6,0.1,0.3,-0.69:0.09:-0.75,58.0,34.0,#FF,134.5931119
457049,549,2021-07-22 19:20:06.981,A69-1602,65477,46.5,34.0,0,#A3,137.7128456
457049,550,2021-07-22 19:20:15.160,A69-1602,65477,47.0,34.0,0,#8C,145.9200503
457049,551,2021-07-22 19:20:23.339,A69-1602,65477,48.5,33.5,0,#9E,154.11281540000002
457049,552,2021-07-22 19:20:39.697,A69-1602,65477,45.5,34.0,0,#A6,170.4482379
457049,553,2021-07-22 19:20:47.876,A69-1602,65477,43.5,34.0,0,#A3,178.6555829
457049,554,2021-07-22 19:21:04.786,STS,4806,40864,12.4,21.5,0.1,0.3,-0.72:0.09:-0.72,57.5,33.5,#11,195.1518339
457049,555,2021-07-22 19:21:04.235,A69-1602,65477,44.0,34.0,0,#90,195.2310113
457049,556,2021-07-22 19:21:12.414,A69-1602,65477,43.5,34.0,0,#93,203.43926480000002
457049,557,2021-07-22 19:22:04.133,STS,4807,40910,12.4,21.6,0.1,0.3,-0.75:0.12:-0.69,59.0,34.0,#FD,254.49478090000002
457049,558,2021-07-22 19:22:09.667,A69-1602,65477,42.0,34.5,0,#A5,260.670231
457049,559,2021-07-22 19:23:04.421,STS,4808,40939,12.4,21.6,0.1,0.3,-0.72:0.16:-0.72,59.0,33.5,#0B,314.7964199
457049,560,2021-07-22 19:24:04.641,STS,4808,40968,12.4,21.6,0.1,0.3,-0.69:0.12:-0.75,56.5,33.5,#11,375.0040767
457049,561,2021-07-22 19:25:04.862,STS,4808,40985,12.4,21.6,0.1,0.3,-0.69:0.16:-0.75,60.0,34.0,#0D,435.2265564
457049,562,2021-07-22 19:26:05.084,STS,4808,40996,12.4,21.6,0.1,0.3,-0.69:0.16:-0.75,59.0,34.0,#16,495.44917699999996
457049,563,2021-07-22 19:27:04.287,STS,4808,41024,12.4,21.6,0.1,0.3,-0.78:0.19:-0.66,57.5,33.5,#15,554.6625931
457049,564,2021-07-22 19:27:28.652,A69-1602,65477,46.0,34.0,0,#A1,579.126682
457049,565,2021-07-22 19:27:36.830,A69-1602,65477,47.0,34.0,0,#A0,587.319026
457049,566,2021-07-22 19:27:45.009,A69-1602,65477,47.5,34.0,0,#A4,595.5264804
